index,u_p0,u_p1,u_p2,v_p0,v_p1,v_p2,w_p0,w_p1,w_p2
k,0,0,0,1,1,1,2,2,2
x,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
     4.80,    7.9214,    9.1776,    9.1985,    0.7019,    1.2052,   -0.4735,   -0.5100,   -0.2800,    0.2000
     4.90,    8.2399,    9.0510,    9.3066,    1.1827,    1.2787,   -0.7737,   -0.3450,   -0.2250,    0.2100
     5.00,    7.8936,    9.0690,    9.3277,    1.2186,    1.2774,   -0.7141,   -0.3600,   -0.2400,    0.0400
     5.10,    7.7137,    9.1170,    9.2147,    1.5812,    1.1764,   -0.6639,   -0.6100,   -0.1950,    0.0900
     5.20,    7.1341,    9.0138,    9.4851,    0.8475,    1.3205,   -0.9513,   -0.8600,   -0.1100,   -0.0200
     5.30,    7.0019,    9.0914,    9.4949,    0.5320,    1.2979,   -0.8574,   -0.7450,   -0.1650,   -0.0800
     5.40,    5.8068,    9.0677,    9.1524,    0.6916,    1.1134,   -0.6786,   -1.2300,   -0.2400,    0.1900
     5.50,    6.3372,    9.1618,    9.0805,    1.0132,    1.2175,   -0.2671,   -0.9100,   -0.2950,    0.0200
     5.60,    5.6487,    9.1539,    9.0790,    0.9928,    1.2237,   -0.5452,   -0.6800,   -0.3700,   -0.0100
     5.70,    5.8783,    9.1098,    8.8927,    0.9212,    1.1185,   -0.3044,   -0.8100,   -0.4100,    0.1200
     5.80,    6.2422,    9.1054,    9.1344,    1.2651,    1.0966,   -0.0682,   -0.7900,   -0.4500,    0.2100
     5.90,    6.4116,    9.0276,    8.9903,    0.9297,    1.2082,    0.1777,   -0.8100,   -0.4600,    0.1650
     6.00,    6.7837,    9.1872,    8.7503,    1.4385,    1.1850,   -0.0726,   -0.2200,   -0.4100,    0.1600
     6.10,    6.6086,    9.1242,    8.6996,    1.5880,    1.2913,    0.3985,   -0.5200,   -0.3600,    0.2100
     6.20,    6.9329,    9.2268,    8.6966,    1.4996,    1.2683,    0.2485,   -0.2800,   -0.4000,    0.1100
     6.30,    7.0626,    9.1593,    8.7079,    1.4300,    1.2956,    0.2143,   -0.2700,   -0.3950,   -0.0100
     6.40,    7.1590,    9.0850,    8.6604,    1.8052,    1.3791,    0.5433,   -0.2700,   -0.3800,    0.0800
     6.50,    7.0276,    9.1404,    8.8810,    1.6857,    1.4500,    0.3709,   -0.4200,   -0.2300,   -0.4200
     6.60,    6.9425,    9.1254,    9.0756,    1.4794,    1.3983,    0.7011,   -0.3300,   -0.1800,   -0.1200
     6.70,    6.8176,    9.3145,    8.8306,    1.4818,    1.0475,    0.9560,   -0.0750,   -0.0650,   -0.0900
     6.80,    6.8627,    9.3017,    8.8747,    1.0849,    1.0067,    1.0612,    0.2400,    0.0300,    0.0500
     6.90,    7.0281,    9.4110,    9.0699,    1.5077,    0.8706,    0.7183,    0.1800,    0.0800,   -0.1250
     7.00,    6.7596,    9.4467,    9.1150,    1.6350,    1.1599,    1.0764,    0.2700,    0.1800,   -0.0600
     7.10,    7.0735,    9.5632,    8.9017,    1.4278,    0.8786,    1.0146,    0.3550,   -0.0000,   -0.0900
     7.20,    7.0863,    9.4297,    8.7318,    1.4685,    0.6021,    1.1220,   -0.0900,   -0.0200,   -0.1900
     7.30,    7.0708,    9.2534,    8.8513,    1.3918,    0.7906,    0.7876,   -0.2000,   -0.0050,   -0.0900
     7.40,    7.5835,    9.3251,    8.9042,    1.4227,    0.8743,    0.5305,   -0.4100,   -0.0300,   -0.0200
     7.50,    7.5252,    9.3657,    9.0091,    0.7957,    1.0075,    0.3724,   -0.7850,   -0.0550,   -0.1200
     7.60,    7.8268,    9.1542,    9.0941,    0.7758,    0.9316,    0.3187,   -1.1300,   -0.0400,    0.0000
     7.70,    8.4116,    9.0108,    9.2507,    0.6552,    0.9675,    0.1456,   -0.9450,   -0.1200,    0.1400
     7.80,    8.7084,    9.1623,    8.5412,    0.8484,    1.0395,    0.5857,   -0.7700,   -0.1800,    0.1400
     7.90,    8.6227,    9.0831,    8.8414,    0.7631,    1.1331,    0.4907,   -0.6650,   -0.1600,    0.1200
     8.00,    8.5429,    9.0195,    8.6737,    0.5716,    1.1003,    0.6090,   -0.2900,   -0.2000,    0.1800
     8.10,    8.4785,    8.8744,    8.6008,    0.6029,    1.1502,    0.5645,   -0.3600,   -0.1450,    0.0900
     8.20,    8.2699,    8.8254,    8.7500,    1.2291,    0.9981,    0.6255,    0.1600,   -0.1100,    0.0400
     8.30,    8.2781,    8.7196,    8.8998,    1.5970,    0.9602,    0.1025,    0.2000,   -0.0750,   -0.0900
     8.40,    8.5031,    8.7712,    8.7582,    1.1865,    1.0912,    0.7334,    0.0400,   -0.0400,    0.1500
     8.50,    8.7195,    8.7896,    8.6614,    1.1062,    1.0579,    0.5933,   -0.0050,   -0.0500,    0.1800
     8.60,    8.5060,    8.7562,    8.4932,    1.3365,    1.0395,    0.6866,    0.0300,   -0.1800,    0.2700
     8.70,    8.6286,    8.6444,    8.4910,    1.2661,    0.8477,    0.8787,   -0.1500,   -0.1050,    0.2300
     8.80,    8.7121,    8.7111,    8.8168,    1.3404,    0.8844,    0.2562,   -0.1400,   -0.0700,   -0.2300
     8.90,    8.7966,    8.6944,    8.6581,    1.4648,    0.8467,    0.2723,   -0.2600,    0.0100,   -0.1850
     9.00,    8.4191,    8.6212,    8.6087,    1.2902,    0.6881,    0.5583,   -0.3100,    0.1300,    0.1200
     9.10,    8.5968,    8.6100,    8.7382,    1.1197,    0.7793,    0.4317,   -0.2450,    0.0100,   -0.0100
     9.20,    8.4018,    8.6560,    8.7483,    1.0245,    0.9275,    0.2335,   -0.3900,   -0.0000,   -0.1600
     9.30,    8.3984,    8.6900,    8.7407,    1.2556,    0.8248,    0.3537,   -0.5100,   -0.0650,   -0.1000
     9.40,    8.1551,    8.5380,    8.8347,    1.2934,    0.7277,    0.4578,   -0.7500,    0.0100,   -0.1600
     9.50,    8.1555,    8.5166,    8.5750,    1.0584,    0.9602,    0.7750,   -0.8000,   -0.0300,   -0.0800
     9.60,    8.4243,    8.3927,    8.6692,    1.2481,    0.8666,   -0.2250,   -0.7500,   -0.1100,   -0.2100
     9.70,    8.4392,    8.4841,    8.8639,    1.2428,    0.9349,   -0.0408,   -0.7850,   -0.0400,   -0.0800
     9.80,    8.3792,    8.6028,    8.8493,    1.0930,    1.0705,   -0.1246,   -0.5500,   -0.1300,    0.0000
     9.90,    8.3816,    8.5117,    9.0223,    1.0149,    1.1163,   -0.0249,   -0.5450,   -0.2200,   -0.1150
    10.00,    8.2433,    8.5560,    8.9342,    1.0976,    1.3355,   -0.1782,   -0.6100,   -0.1400,   -0.0300
    10.10,    8.0566,    8.6179,    9.1815,    1.1673,    1.3823,   -0.2191,   -0.6900,   -0.3350,   -0.3800
    10.20,    7.8847,    8.6981,    9.2090,    1.1747,    1.3387,   -0.0376,   -0.6500,   -0.3800,   -0.3200
    10.30,    8.0508,    8.4725,    9.4100,    1.1274,    1.2611,    0.0084,   -0.4400,   -0.4200,   -0.1800
    10.40,    7.7458,    8.4900,    9.1573,    1.4355,    1.2348,   -0.4287,   -0.5700,   -0.3400,   -0.0900
    10.50,    7.7744,    8.7267,    8.9458,    1.6670,    1.3672,   -0.0985,   -0.8600,   -0.4050,    0.2200
    10.60,    7.7178,    8.9261,    8.5611,    1.8381,    1.3382,   -0.3309,   -0.9300,   -0.5300,    0.3400
    10.70,    7.5797,    8.7131,    8.6341,    1.8889,    1.3904,   -0.6354,   -0.9650,   -0.4800,    0.1850
    10.80,    7.7163,    8.7547,    8.7005,    1.9662,    1.1676,   -0.7697,   -0.9100,   -0.4600,    0.1500
    10.90,    7.7781,    8.6528,    8.7712,    2.1590,    1.0696,   -0.5331,   -0.8950,   -0.4950,    0.2900
    11.00,    7.5338,    8.5462,    8.6685,    2.3499,    1.2417,   -0.5671,   -1.0000,   -0.4800,    0.0300
    11.10,    7.4702,    8.5413,    8.5555,    2.3171,    1.2518,    0.2953,   -0.9650,   -0.2400,    0.3900
    11.20,    7.6931,    8.6838,    9.1145,    2.2127,    1.2230,    0.0362,   -0.4800,   -0.1900,    0.2000
    11.30,    8.1610,    8.6195,    9.1485,    1.7964,    1.3113,    0.3396,   -0.1650,   -0.1550,    0.2500
    11.40,    8.8806,    8.5580,    9.1739,    1.3611,    1.4355,    0.7132,   -0.1100,   -0.1400,    0.3000
    11.50,    8.5346,    8.5418,    9.2127,    1.5680,    1.4798,    0.0483,   -0.1550,   -0.1450,    0.0100
    11.60,    8.0093,    8.6346,    9.2051,    1.6103,    1.5660,    0.1685,   -0.5300,   -0.1300,    0.1400
    11.70,    7.8795,    8.6348,    8.9335,    1.6229,    1.4770,    0.6979,   -0.9900,   -0.2000,    0.4200
    11.80,    7.9153,    8.5922,    8.9461,    2.3183,    1.4468,    0.4216,   -0.6800,   -0.2200,    0.3000
    11.90,    7.6678,    8.6935,    9.0909,    2.2452,    1.4628,    0.4608,   -0.9000,   -0.1200,    0.0800
    12.00,    7.5341,    8.7377,    8.9234,    2.0578,    1.4219,    0.4901,   -0.9600,   -0.0100,   -0.0500
    12.10,    7.5898,    8.5501,    9.1076,    1.6906,    1.4417,    0.4985,   -0.9900,   -0.2550,   -0.1200
    12.20,    7.8510,    8.5580,    9.0697,    2.2036,    1.4355,    0.8073,   -0.8400,   -0.2300,   -0.0400
    12.30,    7.9720,    8.5751,    9.0234,    2.0012,    1.4412,    0.4881,   -1.1250,   -0.1400,   -0.0500
    12.40,    7.9918,    8.6658,    8.9030,    2.0428,    1.4274,    0.7726,   -0.4600,   -0.2500,    0.1000
    12.50,    7.8334,    8.5663,    8.9928,    1.9699,    1.4543,    0.5627,   -0.5200,   -0.2850,    0.0100
    12.60,    7.9039,    8.5230,    9.0325,    1.9465,    1.4882,    0.6460,   -0.3400,   -0.4300,   -0.0300
    12.70,    7.8089,    8.4602,    8.9094,    1.7923,    1.4484,    0.8945,   -0.7450,   -0.3950,    0.1700
    12.80,    7.3794,    8.5964,    9.1143,    1.5188,    1.3547,    0.7344,   -0.3600,   -0.3900,   -0.0400
    12.90,    7.5862,    8.5299,    9.0529,    1.4587,    1.4320,    0.7696,   -0.2400,   -0.3750,    0.0300
    13.00,    7.3488,    8.5491,    9.1214,    1.1873,    1.3917,    0.3862,   -0.4900,   -0.4600,   -0.2000
    13.10,    6.9562,    8.5405,    9.1315,    1.7161,    1.2588,    0.5940,   -0.3650,   -0.4800,   -0.1100
    13.20,    7.0814,    8.3644,    9.1911,    1.6247,    1.5613,    0.5728,   -0.5100,   -0.4700,   -0.0600
    13.30,    7.0893,    8.3276,    9.0433,    1.4155,    1.3680,    0.7898,   -0.5700,   -0.5100,    0.0100
    13.40,    7.4326,    8.2063,    9.0953,    0.9696,    1.4564,    0.8888,   -0.9400,   -0.5800,    0.1100
    13.50,    7.3610,    8.5730,    9.2344,    1.1460,    1.4872,    0.3359,   -0.8900,   -0.3900,   -0.0700
    13.60,    7.3153,    8.5856,    9.2472,    0.7059,    1.6170,    0.5797,   -0.8300,   -0.2000,   -0.0300
    13.70,    7.1411,    8.7658,    9.2593,    0.6453,    1.6284,    0.4815,   -0.7550,   -0.1250,    0.0500
    13.80,    7.2787,    8.7941,    9.1662,    0.7726,    1.5429,    0.8334,   -0.3400,   -0.1200,    0.2000
    13.90,    7.1713,    8.8887,    9.0749,    0.6027,    1.4690,    0.7652,   -0.3950,   -0.0600,    0.1500
    14.00,    7.3321,    9.0754,    9.1160,    0.3375,    1.8054,    0.7203,   -0.4300,   -0.0900,    0.2700
    14.10,    6.9556,    9.0434,    9.3573,    0.4159,    1.6020,    0.3795,   -0.3550,   -0.3750,    0.0000
    14.20,    7.2912,    9.3480,    9.4248,    0.0902,    1.3259,    0.3522,   -0.3800,   -0.2200,    0.2100
    14.30,    7.0351,    8.8215,    9.0017,    0.2903,    1.8134,    0.6066,    0.2650,    0.1100,    0.5000
    14.40,    7.2710,    8.8318,    9.1805,   -0.3255,    1.5261,    0.5430,    0.6700,    0.3700,    0.1500
    14.50,    7.1709,    8.9286,    9.2482,   -0.3805,    1.4632,    0.6297,    0.9300,    0.4600,    0.0400
    14.60,    6.5751,    8.8813,    9.3999,   -0.1117,    1.2971,    0.6127,    1.2000,    0.7600,   -0.1000
    14.70,    6.1231,    9.2871,    9.1421,   -0.6659,    1.1831,    0.6238,    1.2350,    0.6100,    0.6200
    14.80,    6.1584,    9.6403,    8.8843,   -0.5476,    1.4401,    0.6349,    0.8500,    0.6200,    0.4500
    14.90,    6.2927,    9.6589,    8.7276,   -0.4812,    1.3178,    0.8080,    0.8000,    0.9900,    0.5100
    15.00,    5.8760,    9.4585,    9.0118,    0.2442,    0.9476,    0.4083,    0.7100,    1.1400,    0.1400
    15.10,    5.8305,    9.0532,    9.0946,    0.1210,    1.0867,    0.5467,    0.3850,    0.9350,    0.0300
    15.20,    6.3537,    9.0138,    8.9909,    0.5308,    0.9144,    0.4628,    0.3000,    0.6100,   -0.0700
    15.30,    6.7334,    8.7621,    8.8606,    0.5133,    1.3394,    0.6534,    0.3900,    0.1900,    0.0700
    15.40,    6.6049,    8.8683,    9.0712,    0.2838,    1.7514,    0.2731,    0.1900,    0.0700,   -0.1400
