index,u_p0,u_p1,u_p2,v_p0,v_p1,v_p2,w_p0,w_p1,w_p2
k,0,0,0,1,1,1,2,2,2
x,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
y,-107.100000,-107.100000,-107.100000,-107.100000,-107.100000,-107.100000,-107.100000,-107.100000,-107.100000
z,17.000000,57.000000,93.000000,17.000000,57.000000,93.000000,17.000000,57.000000,93.000000
     0.00,    5.7038,    8.8978,    9.2002,    0.1375,    1.6268,   -0.4875,   -2.2600,    0.1700,   -0.0900
     0.10,    6.5475,    8.7075,    9.1019,    0.5190,    1.6106,   -0.4996,   -0.5400,    0.1000,   -0.0200
     0.20,    6.3118,    8.6407,    9.0280,    0.6396,    1.5739,   -0.5942,    0.1900,    0.2500,   -0.1400
     0.30,    6.5844,    8.7831,    8.9233,    0.5662,    1.6911,   -0.3791,   -0.1800,    0.1700,   -0.0200
     0.40,    6.6970,    9.2128,    8.8219,   -0.1181,    1.6726,   -0.5981,   -0.4200,   -0.0300,    0.0000
     0.50,    6.3525,    9.1500,    8.9306,    0.3668,    1.4298,   -0.4102,   -0.2000,   -0.1000,    0.0600
     0.60,    7.0166,    9.0340,    8.8909,   -0.3425,    1.7362,   -0.3474,    0.0600,   -0.1500,    0.1100
     0.70,    6.5337,    8.9719,    8.8943,    0.2252,    1.4293,   -0.3755,    0.0500,   -0.2900,   -0.0050
     0.80,    6.5554,    8.9259,    8.9140,    0.1067,    1.6303,   -0.5939,    0.0600,   -0.2400,   -0.1300
     0.90,    6.3951,    8.9266,    8.9102,    0.1939,    1.5662,   -0.5338,    0.1200,    0.2000,   -0.0950
     1.00,    6.8895,    8.9766,    8.8512,   -0.7000,    1.5653,   -0.4307,   -0.6200,   -0.0900,   -0.1200
     1.10,    6.7435,    9.1426,    8.8241,    0.3151,    1.2579,   -0.5872,   -0.7900,   -0.4100,   -0.2300
     1.20,    6.8731,    9.2202,    8.9103,    0.1885,    1.0324,   -0.6799,   -0.4000,   -0.6700,   -0.2300
     1.30,    6.7027,    8.9266,    8.7254,    0.8800,    1.5662,   -0.4212,   -0.4000,   -0.7200,   -0.1700
     1.40,    6.4855,    9.3743,    8.8246,    1.0243,    1.3434,   -0.5622,   -0.2900,   -0.6500,   -0.0800
     1.50,    6.2372,    9.3386,    8.8552,    0.6091,    1.0540,   -0.2307,   -0.6400,   -0.1400,   -0.1500
     1.60,    6.0804,    9.4295,    8.7830,    1.0743,    0.4881,   -0.3393,   -0.3400,   -0.3600,   -0.1200
     1.70,    5.8270,    8.9089,    8.7394,    1.1073,    0.6664,   -0.4194,    0.0100,   -0.1100,   -0.2600
     1.80,    5.6231,    8.9424,    8.8222,    0.9113,    0.7418,   -0.4841,   -0.1000,    0.1800,   -0.4900
     1.90,    5.6659,    8.7394,    8.8085,    0.4463,    0.5957,   -0.3148,    0.1000,    0.1700,   -0.4950
     2.00,    5.5920,    8.7761,    8.9128,    0.3518,    0.5290,   -0.3519,   -0.5400,    0.1800,   -0.5600
     2.10,    5.7245,    8.8658,    8.8253,    0.3752,    0.6113,   -0.2771,   -0.5100,    0.0800,   -0.4650
     2.20,    5.6551,    8.6279,    8.9303,    0.3025,    0.9240,   -0.3782,   -0.2500,   -0.0500,   -0.5500
     2.30,    5.5915,    8.7784,    8.8351,   -0.2823,    0.7430,   -0.3863,    0.3700,   -0.3100,   -0.3750
     2.40,    5.4406,    8.8323,    8.9340,   -0.7354,    0.9420,   -0.6983,    0.4000,   -0.2200,   -0.4900
     2.50,    5.1896,    8.4006,    8.9270,   -0.3744,    0.8605,   -0.4962,    0.3400,    0.2700,   -0.4700
     2.60,    5.2160,    8.3533,    8.8591,   -0.3569,    0.4913,   -0.0307,    0.6200,   -0.2100,   -0.2000
     2.70,    4.9234,    8.3693,    8.9495,   -0.5852,    0.5930,   -0.2156,    0.7300,    0.0200,   -0.1500
     2.80,    5.3051,    8.8769,    9.1435,    0.7155,    0.8691,   -0.3164,    1.2200,    0.2700,   -0.3100
     2.90,    5.7403,    9.1399,    8.9444,    0.3629,    0.8159,   -0.5225,    1.1700,    0.0200,   -0.3400
     3.00,    6.3987,    9.3376,    8.9913,   -0.9384,    1.0040,   -0.5274,    1.1000,   -0.0300,   -0.3100
     3.10,    6.1576,    8.8855,    9.0777,   -1.2957,    1.2050,   -0.1571,    1.2400,   -0.0400,   -0.5550
     3.20,    6.0727,    8.6114,    9.0687,   -0.0238,    1.0004,   -0.0549,    0.9000,    0.2700,   -0.5100
     3.30,    5.6526,    8.6838,    8.9229,   -0.0255,    0.8169,   -0.1440,    0.8300,    0.4700,   -0.5200
     3.40,    5.1960,    8.9887,    8.9261,    0.5596,    0.2488,   -0.2861,    0.8100,    0.4300,   -0.5900
     3.50,    5.4130,    9.2815,    8.8848,    0.7074,    0.5911,   -0.0953,    1.0100,    0.5400,   -0.3800
     3.60,    5.6174,    9.1239,    9.0470,   -0.0868,    0.3081,   -0.3425,    1.0100,    0.6100,   -0.4400
     3.70,    5.5531,    8.9276,    8.8947,    0.2045,    0.3980,   -0.2045,    0.8600,    0.8600,   -0.2200
     3.80,    5.5492,    8.7274,    9.0330,    1.2228,    0.2879,    0.0619,    0.2300,    0.4500,   -0.1200
     3.90,    4.9513,    9.0778,    9.1272,    0.9285,    0.9151,    0.2230,    0.3500,   -0.0300,    0.0700
     4.00,    4.8161,    8.9303,    9.1977,    0.8692,    0.4340,   -0.0034,    0.5500,   -0.1800,    0.0600
     4.10,    5.2020,    8.6395,    9.2366,    1.2656,    0.1916,   -0.0592,    0.8600,   -0.1500,    0.0350
     4.20,    5.6051,    8.6614,    9.1812,    0.7096,   -0.2189,    0.0729,    0.9600,   -0.3900,    0.0800
     4.30,    5.6122,    8.5791,    9.1556,    0.3614,   -0.1292,   -0.0086,    0.1300,   -0.1700,    0.1850
     4.40,    5.5598,    8.5451,    9.2140,   -0.3717,    0.3795,   -0.1938,    0.8100,   -0.4200,    0.0900
     4.50,    5.4068,    8.4208,    9.0527,   -0.9248,   -0.3481,    0.0465,    0.6400,   -0.2200,    0.0500
     4.60,    5.9488,    8.4481,    8.8274,   -0.9295,   -0.2807,    0.2860,    0.3600,   -0.2000,    0.2500
     4.70,    6.1146,    8.3484,    9.0902,   -0.5387,   -0.1647,   -0.0273,    0.6500,   -0.0500,    0.1300
     4.80,    5.9636,    8.2260,    9.0042,   -0.5857,   -0.3863,   -0.2836,    0.9800,    0.3500,    0.1100
     4.90,    6.0464,    7.6549,    9.0582,   -0.4473,   -0.0290,   -0.2307,    0.8100,    0.5800,    0.0150
     5.00,    5.9609,    7.7758,    8.9785,   -1.0278,   -0.0854,   -0.3652,    0.9800,    0.3600,   -0.1000
     5.10,    5.9048,    7.4771,    9.0811,   -0.6286,    0.0845,   -0.3882,    1.0600,    0.5100,   -0.0550
     5.20,    6.1537,    7.5365,    8.9293,   -0.2774,   -0.0506,   -0.0221,    0.7300,    0.3500,    0.0800
     5.30,    6.1397,    7.7401,    9.0783,    0.1269,   -0.3747,   -0.0751,    0.7500,    0.5100,   -0.0700
     5.40,    6.4182,    7.9595,    9.0236,   -0.4587,   -0.3050,   -0.2100,    0.7800,    1.0500,    0.0700
     5.50,    6.1153,    8.1602,    9.0784,    0.2094,    0.0331,   -0.2211,    0.7600,    0.7400,   -0.1450
     5.60,    6.8349,    8.0809,    9.0963,    0.3833,    0.2727,   -0.2795,    0.5900,    0.7100,   -0.1400
     5.70,    6.4532,    7.9635,    8.9582,    0.3008,   -0.1051,   -0.0257,    0.7300,    0.6500,   -0.0400
     5.80,    6.2192,    8.0477,    9.0935,    0.0013,   -0.0947,   -0.3154,    0.6100,    0.5900,   -0.1800
     5.90,    6.0594,    7.5636,    9.0420,    0.7226,   -0.0972,   -0.2434,    0.4200,    0.8600,   -0.1200
     6.00,    5.6026,    8.0740,    9.0367,    0.7877,   -0.0773,   -0.2583,    0.5500,    0.9400,   -0.0800
     6.10,    5.4051,    7.8300,    8.9741,    0.7135,    0.2276,   -0.1840,    1.0300,    0.9900,   -0.1400
     6.20,    5.3834,    7.5409,    9.0800,   -0.7923,   -0.0287,   -0.4952,    2.1500,    0.7300,   -0.2800
     6.30,    5.4251,    7.8958,    9.0108,    0.2030,   -0.1918,   -0.2508,    1.7800,    0.6200,   -0.2000
     6.40,    5.4982,    8.0918,    8.9857,    0.3616,    0.4165,   -0.3073,    1.1000,   -0.4200,   -0.1700
