index,u_p0,u_p1,u_p2,v_p0,v_p1,v_p2,w_p0,w_p1,w_p2
k,0,0,0,1,1,1,2,2,2
     4.60,    6.7334,    8.0531,    7.1799,    0.5133,   -0.0228,   -0.6857,   -0.3900,   -0.5400,   -0.2800
     4.70,    6.3456,    7.8046,    7.2601,    0.4229,    0.2601,   -0.8754,   -0.9500,   -0.8600,   -0.3000
     4.80,    6.2382,    7.7551,    7.3584,    0.2530,    0.0831,   -0.8633,   -0.6200,   -0.7900,   -0.1800
     4.90,    6.2628,    7.7239,    7.2230,    0.2845,    0.2217,   -0.6306,   -0.9400,   -0.7600,   -0.2550
     5.00,    5.9067,    7.8172,    7.2358,   -0.1225,   -0.0162,   -0.7929,   -0.8600,   -0.7800,   -0.3100
     5.10,    6.4135,    7.7741,    7.4251,    0.2175,   -0.0713,   -0.8266,   -0.6800,   -0.6900,   -0.4350
     5.20,    6.4384,    7.9187,    7.3252,   -0.0430,   -0.1462,   -0.4186,   -0.4900,   -0.6800,   -0.0900
     5.30,    6.4645,    7.6497,    7.3606,    0.2666,    0.0131,   -0.2432,   -0.7500,   -0.8200,   -0.2250
     5.40,    6.3409,    7.6638,    7.3350,    0.2870,    0.0149,   -0.3247,   -0.8200,   -0.7800,   -0.2500
     5.50,    6.5650,    7.5458,    7.3725,    0.0865,   -0.1849,   -0.4555,   -1.1800,   -0.7600,   -0.3050
     5.60,    6.5913,    7.7064,    7.4677,   -0.3021,   -0.1580,   -0.5934,   -1.1400,   -0.7200,   -0.3200
     5.70,    5.7595,    7.7170,    7.3380,    0.3225,   -0.1282,   -0.5808,   -1.3200,   -0.7100,   -0.4350
     5.80,    5.9479,    7.6475,    7.3749,   -0.1673,   -0.2009,   -0.5336,   -1.6800,   -0.7400,   -0.5200
     5.90,    6.5074,    7.6983,    7.2847,   -0.1984,   -0.2659,   -0.4948,   -1.0400,   -0.7600,   -0.4100
     6.00,    6.1463,    7.7379,    7.4234,   -0.4493,   -0.1826,   -0.4065,   -0.8400,   -0.7400,   -0.5600
     6.10,    5.9003,    7.7188,    7.2722,   -0.6505,   -0.2883,   -0.3645,   -0.7500,   -0.5750,   -0.4550
     6.20,    5.3650,    7.6234,    7.3377,   -0.0038,   -0.4104,   -0.2888,   -0.6600,   -0.5400,   -0.4100
     6.30,    5.4635,    7.6103,    7.1322,    0.1223,   -0.3622,   -0.2107,   -0.7600,   -0.3900,   -0.4000
     6.40,    5.0808,    7.6438,    7.1242,   -0.0102,   -0.2868,   -0.4646,   -0.3300,   -0.3900,   -0.3100
     6.50,    5.4975,    7.7640,    7.1371,    0.0196,   -0.2792,   -0.5699,   -0.3000,   -0.2200,   -0.5000
     6.60,    5.4300,    7.8115,    7.0890,   -0.3592,   -0.2021,   -0.1198,   -0.2600,   -0.2200,   -0.3100
     6.70,    5.2330,    7.8241,    7.0976,   -0.2052,   -0.0723,   -0.3931,   -0.0300,   -0.1400,   -0.4950
     6.80,    5.2256,    7.8088,    7.0577,    0.4350,   -0.2381,   -0.3873,   -0.0700,    0.0200,   -0.5300
     6.90,    5.1296,    8.1061,    7.0957,    0.2309,   -0.2799,   -0.4930,   -0.3100,   -0.1600,   -0.5650
     7.00,    5.5807,    8.1826,    7.0996,   -0.0201,   -0.1494,   -0.4961,   -0.4800,   -0.2200,   -0.5600
     7.10,    5.1140,    8.0713,    7.4799,   -0.0489,   -0.1132,   -0.6346,   -0.1200,   -0.2200,   -0.5600
     7.20,    5.0096,    8.1056,    7.6226,   -0.0688,   -0.1019,   -0.7525,   -0.3600,   -0.1100,   -0.6300
     7.30,    5.1955,    8.1058,    7.6203,   -0.0745,    0.0121,   -0.8205,   -0.2700,   -0.0700,   -0.6050
     7.40,    5.8604,    7.8930,    7.6246,   -0.0356,   -0.2277,   -0.6525,    0.0100,   -0.0900,   -0.6300
     7.50,    5.3445,    7.8797,    7.8098,   -0.1274,   -0.2935,   -0.7972,   -0.2200,   -0.1900,   -0.6700
     7.60,    5.5900,    8.0910,    7.6130,   -0.1543,    0.0744,   -0.7323,   -0.3700,    0.0100,   -0.6100
     7.70,    6.2119,    7.9229,    7.4431,    0.2355,    0.1678,   -0.8280,   -0.0600,   -0.0400,   -0.6700
     7.80,    6.1382,    7.8822,    7.4330,   -0.1511,    0.0345,   -0.8328,   -0.1700,   -0.0900,   -0.6000
     7.90,    5.8831,    7.9219,    7.3667,    0.3020,    0.1178,   -0.9015,   -0.1800,   -0.2000,   -0.3600
     8.00,    5.7344,    7.8502,    7.4350,    0.4690,    0.2372,   -0.7328,    0.0900,   -0.1800,   -0.1800
     8.10,    5.3822,    7.8652,    7.3918,    0.2619,    0.0859,   -0.6419,   -0.3600,   -0.2300,   -0.2050
     8.20,    5.8297,    7.5978,    7.3444,   -0.0750,    0.3202,   -0.8650,    0.3400,   -0.2500,   -0.2600
     8.30,    6.4485,    7.7923,    7.2782,    0.1648,    0.2444,   -0.8197,    0.2000,   -0.1500,   -0.1450
     8.40,    7.0577,    7.6680,    7.2409,    0.0188,    0.3288,   -0.8350,   -0.0600,   -0.2600,   -0.0900
     8.50,    6.3862,    7.8657,    7.2317,   -0.2560,    0.5170,   -0.8468,    0.2500,   -0.3200,   -0.0800
     8.60,    6.5108,    7.7138,    7.1503,   -0.6325,    0.4199,   -0.9672,    0.9200,   -0.4400,   -0.2300
     8.70,    5.9496,    7.8261,    7.3731,   -1.3996,    0.4337,   -0.7796,    0.7400,   -0.4000,   -0.2150
     8.80,    5.7136,    7.8807,    7.3087,   -1.3930,    0.5687,   -0.7483,    0.9100,   -0.4000,   -0.2700
     8.90,    5.5856,    7.7699,    7.3336,   -1.3944,    0.4268,   -1.1549,    0.3100,   -0.2000,   -0.1750
     9.00,    5.5893,    7.9248,    7.2981,   -0.4963,    0.6738,   -1.1842,   -0.0100,   -0.3100,   -0.2200
     9.10,    5.7114,    7.9186,    7.4523,   -0.7948,    0.6089,   -1.0192,   -0.0900,   -0.3200,   -0.2200
     9.20,    6.2283,    7.8492,    7.5404,   -0.6530,    0.5933,   -1.0689,   -0.8300,   -0.3800,   -0.2500
     9.30,    6.3401,    7.6315,    7.6633,   -1.2733,    0.5096,   -1.0253,   -0.2800,    0.0200,   -0.2250
     9.40,    6.7322,    7.7899,    7.7076,   -0.0568,    0.3224,   -1.2123,   -0.3200,   -0.0500,   -0.3200
     9.50,    6.4665,    8.0374,    7.6505,   -0.0395,    0.3956,   -1.0661,   -0.9400,   -0.0300,   -0.2500
     9.60,    6.7300,    8.1927,    7.5936,    0.1353,    0.0584,   -1.2120,   -0.9900,   -0.2200,   -0.2300
     9.70,    6.8265,    8.2329,    7.6571,    0.1614,    0.3697,   -1.2363,   -0.9500,   -0.1600,   -0.2800
     9.80,    6.8440,    8.2639,    7.6665,    0.1350,    0.1170,   -0.7613,   -0.9700,   -0.1500,   -0.3000
     9.90,    6.9430,    7.9251,    7.6322,    0.8952,   -0.0243,   -0.9757,   -0.7800,   -0.1600,   -0.2000
    10.00,    6.6172,    7.8175,    7.6271,    0.7056,    0.0978,   -1.1366,   -0.9900,   -0.4400,   -0.2900
    10.10,    6.5138,    8.3502,    7.2415,    0.3296,    0.0813,   -1.1590,   -0.8800,   -0.3000,   -0.2800
    10.20,    7.1306,    8.4892,    7.3237,    0.0634,    0.0806,   -1.1027,   -0.8700,   -0.2300,   -0.3300
    10.30,    7.4619,    8.4533,    7.2013,    0.3249,    0.0833,   -0.9182,   -0.4800,   -0.2900,   -0.2200
    10.40,    7.2038,    8.3779,    7.3894,    1.4402,    0.1168,   -1.1160,   -0.3200,   -0.2400,   -0.3800
    10.50,    7.1772,    8.4247,    7.4314,    0.4965,    0.2579,   -0.9648,   -0.2000,   -0.5000,   -0.4700
    10.60,    7.5316,    8.3619,    7.5305,    0.5116,    0.0151,   -0.7567,   -0.4400,   -0.6600,   -0.3300
    10.70,    7.4518,    8.3996,    7.3519,    0.5231,   -0.0017,   -1.0422,   -0.0300,   -0.4600,   -0.4000
